Country,Mangroves,Latitude,Longitude,MIN_POINT_X,MAX_POINT_X,MIN_POINT_Y,MAX_POINT_Y
Pakistan,1,29.96371294,69.39831466,60.89943695,77.84307861,23.70291519,37.09701157
Panama,1,8.513100068,-80.10902175,-83.05017853,-77.17324066,7.2023592,9.647360802
Pitcairn,0,-9.172335511,-74.35684186,-130.7562256,-124.7719421,-25.07988548,-23.90772629
Peru,1,-9.172335511,-74.35684186,-81.33069611,-68.65310669,-18.35180473,-0.037470002
Philippines,1,11.73598812,122.8657568,116.9283371,126.6053467,4.586939811,21.07014084
Palau,1,7.402705414,134.4945321,131.1198578,134.7213898,2.971383094,8.094166755
Papua New Guinea,1,-6.476836602,145.2540068,140.8404999,157.0377808,-11.65538025,-0.75583303
Poland,0,52.12953033,19.39349644,14.12288475,24.14578247,49.00204468,54.83641815
Puerto Rico,1,18.22200984,-66.46814778,-67.95180511,-64.99986267,17.88264084,18.51597214
"Korea, Democratic People's Republic of",0,40.13434638,127.1627788,124.1823578,130.6743927,37.60291672,43.00605011
Portugal,0,39.59654814,-8.514975673,-31.26818657,-6.189142227,30.03017616,42.15431595
Paraguay,0,-23.24297308,-58.39278757,-62.64651871,-54.25863266,-27.60586166,-19.29137039
"Palestine, State of",0,31.9160648,35.20917632,34.22902679,35.57545471,31.22360611,32.55156708
French Polynesia,1,-15.72127262,-145.3203142,-154.7272949,-134.4511108,-27.90062714,-7.894928933
Qatar,1,25.28222472,51.19034426,50.73652649,51.64736176,24.46788216,26.18402862
Réunion,0,-21.13334828,55.53268484,55.21625137,55.83736038,-21.38986015,-20.87180519
Romania,0,45.83971021,24.98558804,20.26353836,29.71986198,43.61933136,48.2655983
Russian Federation,0,61.98072981,96.72328783,-180,180,41.18886566,81.85624695
Rwanda,0,-2.000476359,29.9264342,28.86170769,30.89907265,-2.839972735,-1.047450185
Saudi Arabia,1,24.09077366,44.55597447,34.49430466,55.66658783,16.09430504,32.27078247
Sudan,1,16.04938553,30.00564634,21.8389492,38.8493042,8.67911911,23.14514732
Senegal,1,14.35910858,-14.47036349,-17.54318619,-11.34247017,12.30785942,16.69207191
Singapore,1,1.353458027,103.8150594,103.6090546,104.0858002,1.166389942,1.471387983
South Georgia and the South Sandwich Islands,0,-54.67749368,-35.91018964,-41.81561661,-26.2293148,-59.48427963,-53.6468811
